Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Offensive_Contribution,Passing_Ability,Defensive_Performance,Team_Impact,Overall_Performance_Index
Andrea Conti,Milan,25,Italy,2019/2020,15000000.0,12000000.0,Wing-Back,it Serie A,23,21,1725.0,19.2,-0.5000600375476413,0.8190128973677431,-0.2597044281085902,-0.46616806522331056,-0.08277814328269423
Andrea Conti,Parma,26,Italy,2020/2021,10000000.0,4500000.0,Wing-Back,it Serie A,11,9,809.0,9.0,-0.43470782995334883,0.06690890581405048,0.2505496274937127,-0.45610066031274044,-0.07160281894096664
Andrew Robertson,Liverpool,23,Scotland,2017/2018,7000000.0,25000000.0,Wing-Back,eng Premier League,22,22,1940.0,21.6,-0.2914622907178768,1.5399607915743314,0.2954769488848068,0.9390352399778115,0.49487196678568335
Andrew Robertson,Liverpool,24,Scotland,2018/2019,35000000.0,60000000.0,Wing-Back,eng Premier League,36,36,3216.0,35.7,0.2695616751617897,1.5711361083242168,-0.09231639657975582,-0.07448643126842557,0.433893147699834
Andrew Robertson,Liverpool,25,Scotland,2019/2020,80000000.0,64000000.0,Wing-Back,eng Premier League,36,34,3111.0,34.6,0.27382660438153655,1.6791254361136854,-0.19962321292952545,1.1066921012032418,0.5427304259378726
Andrew Robertson,Liverpool,26,Scotland,2020/2021,75000000.0,65000000.0,Wing-Back,eng Premier League,38,38,3383.0,37.6,0.2692786767546916,1.7452525225978235,-0.04360843923178931,-6.36333972685027,-0.1345001927402899
Antonio Barragán,Betis,30,Spain,2017/2018,3000000.0,2500000.0,Wing-Back,es La Liga,29,28,2370.0,26.3,0.0799229291002372,0.5601650599806935,-0.6206241790574126,-0.30598317906884587,-0.08379863685173444
Antonio Barragán,Betis,31,Spain,2018/2019,2000000.0,2000000.0,Wing-Back,es La Liga,14,12,934.0,10.4,-0.7535673860156953,0.8111804429182031,-0.7305135314151521,-1.3805763655502628,-0.41701247762548727
Antonio Barragán,Betis,32,Spain,2019/2020,2000000.0,1600000.0,Wing-Back,es La Liga,12,7,641.0,7.1,-0.21920824002827496,0.5628603379837877,-0.7504907763500992,-0.27986810324617645,-0.2157059695596879
Antonio Barragán,Elche,33,Spain,2020/2021,1000000.0,800000.0,Wing-Back,es La Liga,27,26,2235.0,24.8,-0.6491579262128059,0.30200751527569847,-1.1549138933461156,0.5080023743511726,-0.4726651242809404
Antonio Barreca,Torino,22,Italy,2017/2018,4000000.0,3500000.0,Wing-Back,it Serie A,9,3,468.0,5.2,-0.6615927261850786,0.39341120273473335,-0.1759284145694888,-1.5622802435754417,-0.3179279866287055
Antonio Barreca,Monaco,23,Italy,2018/2019,8000000.0,7000000.0,Wing-Back,fr Ligue 1,7,7,593.0,6.6,-0.024029164059933623,-1.1522605999163802,-0.8504798698578715,0.3513019410786567,-0.5578116595394644
Antonio Barreca,Genoa,24,Italy,2019/2020,4000000.0,3200000.0,Wing-Back,it Serie A,18,11,1095.0,12.2,-0.36439956948113017,-1.518886979987865,-1.5566192150999858,-0.09540143665376813,-1.043398484791677
Antonio Barreca,Fiorentina,25,Italy,2020/2021,3000000.0,2000000.0,Wing-Back,it Serie A,3,1,85.0,0.9,-1.2569689717219859,-0.986755479829777,-1.3257212878285152,-1.0700039376159212,-1.1947824059756125
Arthur Masuaku,West Ham,23,Democratic Republic of the Congo,2017/2018,7000000.0,7000000.0,Wing-Back,eng Premier League,27,21,1870.0,20.8,0.5704273347858907,-1.2271351575855582,0.5030813506139961,0.936293313796317,0.13405221513390794
