Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee
Bartosz Bereszyński,Sampdoria,28,Poland,2020/2021,6.0,6.0,Wing-Back,it Serie A,31,29,2607.0,29.0,0.1090898510651481,-0.0499999999999922,1.62
Bastian Oczipka,Schalke 04,28,Germany,2017/2018,3.5,7.0,Wing-Back,de Bundesliga,29,26,2320.0,25.8,-0.0230734941418638,0.4444444444444367,4.05
Bastian Oczipka,Schalke 04,29,Germany,2018/2019,5.5,4.0,Wing-Back,de Bundesliga,21,21,1875.0,20.8,-0.1672586907054371,-0.5000000000000069,4.05
Bastian Oczipka,Schalke 04,30,Germany,2019/2020,4.0,3.2,Wing-Back,de Bundesliga,34,33,3015.0,33.5,0.0107332013612954,-0.555555555555567,4.05
Bastian Oczipka,Schalke 04,31,Germany,2020/2021,2.8,0.6,Wing-Back,de Bundesliga,27,20,1922.0,21.4,-0.4907389616985969,-1.6944444444444504,4.05
Ben Chilwell,Leicester,20,England,2017/2018,2.5,8.0,Wing-Back,eng Premier League,24,20,1853.0,20.6,0.2259265930668955,-0.0999999999999957,0.0
Ben Chilwell,Leicester,21,England,2018/2019,15.0,35.0,Wing-Back,eng Premier League,36,36,3240.0,36.0,0.2065086246412048,0.0750000000000008,0.0
Ben Chilwell,Leicester,22,England,2019/2020,50.0,40.0,Wing-Back,eng Premier League,27,27,2373.0,26.4,0.4183672616388386,0.6500000000000052,0.0
Ben Chilwell,Chelsea,23,England,2020/2021,50.0,45.0,Wing-Back,eng Premier League,27,27,2286.0,25.4,0.2668849195999628,0.5499999999999972,45.18
Ben Davies,Tottenham,24,Wales,2017/2018,12.0,25.0,Wing-Back,eng Premier League,29,26,2324.0,25.8,0.5227020159728506,0.9500000000000032,11.39
Ben Davies,Tottenham,25,Wales,2018/2019,25.0,25.0,Wing-Back,eng Premier League,27,20,1844.0,20.5,-0.0910515010601759,0.7000000000000012,11.39
Ben Davies,Tottenham,26,Wales,2019/2020,22.0,17.5,Wing-Back,eng Premier League,18,16,1431.0,15.9,0.0764270938712473,0.3500000000000051,11.39
Ben Davies,Tottenham,27,Wales,2020/2021,17.5,16.0,Wing-Back,eng Premier League,20,14,1346.0,15.0,-0.2565655422811802,0.5749999999999975,11.39
Benjamin Henrichs,Leverkusen,20,Germany,2017/2018,10.0,12.0,Wing-Back,de Bundesliga,23,11,1268.0,14.1,0.2101543028206777,0.38888888888888,0.0
Benjamin Henrichs,Monaco,21,Germany,2018/2019,16.0,15.0,Wing-Back,fr Ligue 1,22,21,1824.0,20.3,-0.2756390983779417,-0.4749999999999985,18.0
Benjamin Henrichs,Monaco,22,Germany,2019/2020,15.0,12.0,Wing-Back,fr Ligue 1,13,10,890.0,9.9,-0.1860526011302052,0.013668006147627,18.0
Benjamin Henrichs,RB Leipzig,23,Germany,2020/2021,12.0,12.0,Wing-Back,de Bundesliga,13,5,540.0,6.0,0.198005073763268,0.7777777777777718,18.0
Benjamin Mendy,Man City,23,France,2017/2018,13.0,40.0,Wing-Back,eng Premier League,7,4,363.0,4.0,0.4781133616788687,1.9750000000000043,51.75
Benjamin Mendy,Man City,24,France,2018/2019,45.0,35.0,Wing-Back,eng Premier League,10,10,900.0,10.0,0.6033841288066356,1.800000000000001,51.75
Benjamin Mendy,Man City,25,France,2019/2020,35.0,28.0,Wing-Back,eng Premier League,19,18,1492.0,16.6,0.3590258932227906,1.675000000000006,51.75
Benjamin Mendy,Man City,26,France,2020/2021,28.0,20.0,Wing-Back,eng Premier League,13,11,953.0,10.6,0.2996556125729362,1.2749999999999977,51.75
Benjamin Pavard,Stuttgart,21,France,2017/2018,3.5,30.0,Wing-Back,de Bundesliga,34,34,3060.0,34.0,0.3681224524148437,-8.969309870353455e-15,4.5
Benjamin Pavard,Stuttgart,22,France,2018/2019,40.0,30.0,Wing-Back,de Bundesliga,29,29,2610.0,29.0,0.2190177064796374,-1.0555555555555636,4.5
Benjamin Pavard,Bayern Munich,23,France,2019/2020,35.0,28.0,Wing-Back,de Bundesliga,32,31,2790.0,31.0,0.8668157390501148,1.8888888888888784,31.5
Benjamin Pavard,Bayern Munich,24,France,2020/2021,40.0,35.0,Wing-Back,de Bundesliga,24,22,1943.0,21.6,0.7460589199763823,1.527777777777772,31.5
Bernardo,RB Leipzig,22,Brazil,2017/2018,5.0,6.0,Wing-Back,de Bundesliga,18,15,1350.0,15.0,0.6507776524803947,0.1111111111111021,5.4
Bernardo,Brighton,23,Brazil,2018/2019,9.0,9.0,Wing-Back,eng Premier League,22,19,1752.0,19.5,0.4381934217268084,-0.6249999999999986,9.0
Bernardo,Brighton,24,Brazil,2019/2020,6.0,4.8,Wing-Back,eng Premier League,14,7,679.0,7.5,0.2007958513686082,-0.374999999999995,9.0
Bernardo,Brighton,25,Brazil,2020/2021,4.8,4.0,Wing-Back,eng Premier League,3,2,206.0,2.3,-1.105325183732631,-0.1500000000000023,9.0
Bouna Sarr,Marseille,25,Guinea,2017/2018,2.0,6.0,Wing-Back,fr Ligue 1,29,18,1792.0,19.9,0.5301891749183757,0.825000000000003,1.8
Bouna Sarr,Marseille,26,Guinea,2018/2019,8.0,6.0,Wing-Back,fr Ligue 1,29,25,2242.0,24.9,0.2597507647094772,0.2000000000000005,1.8
Bouna Sarr,Marseille,27,Guinea,2019/2020,8.0,6.5,Wing-Back,fr Ligue 1,27,25,2164.0,24.0,0.1089866240855705,0.3414042051690664,1.8
Bouna Sarr,Bayern Munich,28,Guinea,2020/2021,9.0,4.0,Wing-Back,de Bundesliga,8,5,452.0,5.0,-0.1012263943720853,1.527777777777772,7.2
Calum Chambers,Arsenal,22,England,2017/2018,14.0,14.0,Wing-Back,eng Premier League,12,10,866.0,9.6,0.7975012937849424,0.5750000000000041,18.21
Calum Chambers,Fulham,23,England,2018/2019,14.0,14.0,Wing-Back,eng Premier League,31,29,2588.0,28.8,0.5157889335591077,-1.174999999999998,18.21
Calum Chambers,Arsenal,24,England,2019/2020,18.0,14.5,Wing-Back,eng Premier League,14,13,1102.0,12.2,0.4931558367589935,0.2000000000000052,18.21
Calum Chambers,Arsenal,25,England,2020/2021,14.5,12.0,Wing-Back,eng Premier League,10,8,753.0,8.4,0.2132989672294434,0.399999999999998,18.21
Charalambos Lykogiannis,Cagliari,23,Greece,2017/2018,1.75,2.0,Wing-Back,it Serie A,11,8,687.0,7.6,-0.5025909720865279,-0.6999999999999892,0.72
Charalambos Lykogiannis,Cagliari,24,Greece,2018/2019,2.0,1.5,Wing-Back,it Serie A,11,9,830.0,9.2,-0.5508933111115017,-0.4500000000000002,0.72
Charalambos Lykogiannis,Cagliari,25,Greece,2019/2020,1.5,1.2,Wing-Back,it Serie A,20,14,1338.0,14.9,-0.5774071866921255,-0.0999999999999973,0.72
Charalambos Lykogiannis,Cagliari,26,Greece,2020/2021,1.4,2.5,Wing-Back,it Serie A,31,29,2418.0,26.9,-0.3341272302687991,-0.3999999999999923,0.72
Charles Traore,Troyes,25,Mali,2017/2018,0.4,2.0,Wing-Back,fr Ligue 1,34,33,2999.0,33.3,-0.2137194585715731,-0.6749999999999969,0.0
Charles Traore,Nantes,26,Mali,2018/2019,2.0,3.0,Wing-Back,fr Ligue 1,13,13,1163.0,12.9,0.0780752475001244,9.143313306604365e-16,0.45
Charles Traore,Nantes,27,Mali,2019/2020,3.0,2.4,Wing-Back,fr Ligue 1,20,20,1738.0,19.3,0.0670392489450902,-0.0396957927176841,0.45
Charles Traore,Nantes,28,Mali,2020/2021,2.5,2.0,Wing-Back,fr Ligue 1,22,19,1700.0,18.9,0.2210500535256573,-0.1999999999999974,0.45
Charlie Taylor,Burnley,23,England,2017/2018,5.0,5.0,Wing-Back,eng Premier League,11,10,950.0,10.6,-0.1759594144465957,-0.0749999999999971,0.0
Charlie Taylor,Burnley,24,England,2018/2019,5.0,7.0,Wing-Back,eng Premier League,38,35,3243.0,36.0,-0.3191445706001092,-0.5749999999999984,0.0
Charlie Taylor,Burnley,25,England,2019/2020,5.0,4.0,Wing-Back,eng Premier League,24,22,1945.0,21.6,-0.2122153976074137,-0.1749999999999951,0.0
Charlie Taylor,Burnley,26,England,2020/2021,4.0,4.0,Wing-Back,eng Premier League,29,28,2426.0,27.0,-0.2963985225421604,-0.5500000000000022,0.0
Christian Fuchs,Leicester,31,Austria,2017/2018,6.0,5.0,Wing-Back,eng Premier League,25,21,1921.0,21.3,0.3105441058207104,-0.0999999999999957,0.0
Christian Fuchs,Leicester,32,Austria,2018/2019,3.5,3.0,Wing-Back,eng Premier League,3,2,207.0,2.3,-0.0600186015027397,0.0750000000000008,0.0
Christian Fuchs,Leicester,33,Austria,2019/2020,2.0,1.6,Wing-Back,eng Premier League,11,8,772.0,8.6,0.3819692281702521,0.6500000000000052,0.0
Christian Fuchs,Leicester,34,Austria,2020/2021,1.6,0.8,Wing-Back,eng Premier League,9,8,702.0,7.8,-0.0863522484572861,0.4499999999999977,0.0
Christian Günter,Freiburg,24,Germany,2017/2018,3.5,5.0,Wing-Back,de Bundesliga,34,34,3060.0,34.0,-0.5504596465648125,-0.6666666666666755,0.0
Christian Günter,Freiburg,25,Germany,2018/2019,9.0,9.0,Wing-Back,de Bundesliga,32,32,2879.0,32.0,-0.868332789870095,-0.4166666666666745,0.0
Christian Günter,Freiburg,26,Germany,2019/2020,12.0,9.5,Wing-Back,de Bundesliga,34,34,3029.0,33.7,-0.9603871042816944,0.0277777777777669,0.0
Christian Günter,Freiburg,27,Germany,2020/2021,9.0,12.0,Wing-Back,de Bundesliga,34,34,3060.0,34.0,-0.5188743789433998,-6.144259658568517e-15,0.0
Coke,Levante,30,Spain,2017/2018,4.0,2.0,Wing-Back,es La Liga,17,16,1383.0,15.4,-0.9179144544191552,-0.3499999999999984,3.6
Coke,Levante,31,Spain,2018/2019,2.0,2.0,Wing-Back,es La Liga,27,19,1817.0,20.2,0.0385196695753782,-0.1749999999999975,1.35
Coke,Levante,32,Spain,2019/2020,1.5,1.2,Wing-Back,es La Liga,17,11,989.0,11.0,-0.0022521912205069,-0.1500000000000006,1.35
Coke,Levante,33,Spain,2020/2021,1.0,0.8,Wing-Back,es La Liga,17,11,835.0,9.3,-0.2058427043887851,-0.2749999999999999,1.35
Cristian Ansaldi,Torino,30,Argentina,2017/2018,5.5,5.0,Wing-Back,it Serie A,25,20,1872.0,20.8,-0.0561836998041975,0.2000000000000118,3.6
Cristian Ansaldi,Torino,31,Argentina,2018/2019,5.0,5.0,Wing-Back,it Serie A,24,23,1807.0,20.1,-0.233257112234681,0.3750000000000001,3.6
Cristian Ansaldi,Torino,32,Argentina,2019/2020,5.0,4.0,Wing-Back,it Serie A,27,21,1768.0,19.6,0.0455799099957555,-0.5499999999999986,2.25
Cristian Ansaldi,Torino,33,Argentina,2020/2021,4.0,2.0,Wing-Back,it Serie A,31,20,1947.0,21.6,-0.486539598700581,-0.4749999999999933,2.25
Cristian Dell'Orco,Sassuolo,23,Italy,2017/2018,1.0,1.0,Wing-Back,it Serie A,8,5,421.0,4.7,0.003972448890305,-0.7499999999999892,0.0
