Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Passing_Ability,Shot-Stopping,Territorial_Command,Team_Impact,Overall_Performance_Index,Team_Rating
Fernando Pacheco,Alaves,27,Spain,2019/2020,18000000,14500000,Goalkeeper,es La Liga,27,27,2358.0,26.2,-0.8483600876647429,-0.7065343253852366,1.3803465709271805,-0.2749428139110901,-0.1555318151558869,-0.6250000000000007
Fernando Pacheco,Alaves,28,Spain,2020/2021,14000000,8000000,Goalkeeper,es La Liga,38,37,3349.0,37.2,-0.0691382561239947,-0.9099107544324544,-0.2274058102682176,-0.8051160345878704,-0.5133721858375927,-0.5250000000000005
Florian Müller,Mainz,19,Germany,2017/2018,275000,1000000,Goalkeeper,de Bundesliga,5,5,450.0,5.0,-0.4118191123862725,-0.5293508624300719,-0.815629342113777,-0.5974535922040126,-0.5817529543061395,-0.3888888888888973
Florian Müller,Mainz,20,Germany,2018/2019,4000000,10000000,Goalkeeper,de Bundesliga,24,24,2160.0,24.0,0.2376255553094437,-0.1842302778779908,-0.4293513158662674,-1.3059018970416798,-0.3082973219527546,-0.3055555555555628
Florian Müller,Mainz,21,Germany,2019/2020,6500000,2400000,Goalkeeper,de Bundesliga,13,12,1125.0,12.5,0.3027537372945311,-0.5683862901536741,0.9740533779012388,-1.2378816472182037,-0.065415669837574,-0.5833333333333444
Florian Müller,Freiburg,22,Germany,2020/2021,4000000,8000000,Goalkeeper,de Bundesliga,31,31,2790.0,31.0,0.4868334434274431,0.5145371391217478,0.2484709408084724,-0.8987715071351293,0.2290983686813212,-6.144259658568517e-15
Gerónimo Rulli,Sociedad,25,Argentina,2017/2018,14000000,10000000,Goalkeeper,es La Liga,26,26,2340.0,26.0,0.2598943377769063,-1.3067370748872034,0.5963338837591596,-0.5683367016104637,-0.3285514260680742,0.1750000000000018
Gerónimo Rulli,Sociedad,26,Argentina,2018/2019,6000000,10000000,Goalkeeper,es La Liga,27,27,2430.0,27.0,0.6751996378576492,-0.4223734768304727,1.3671832920377278,-0.2329115937665324,0.327828276518199,-0.0249999999999982
Gerónimo Rulli,Montpellier,27,Argentina,2019/2020,10000000,8000000,Goalkeeper,fr Ligue 1,25,25,2250.0,25.0,0.9971061418299406,0.5001634026373701,2.2230068357537243,0.3932800046356515,1.0390774360143435,0.0442828286169387
Gerónimo Rulli,Villarreal,28,Argentina,2020/2021,5000000,4000000,Goalkeeper,es La Liga,2,2,180.0,2.0,0.6948942534613348,0.5670405453217268,-3.2470693254452225,-2.7039448627570537,-0.8451713065469256,0.4000000000000002
Gianluca Pegolo,Sassuolo,36,Italy,2017/2018,200000,150000,Goalkeeper,it Serie A,2,1,104.0,1.2,-0.3934408750974486,1.7955248010136324,-3.0783925378686146,-1.6366103896339512,-0.4850162313318372,-0.7499999999999892
Gianluca Pegolo,Sassuolo,37,Italy,2018/2019,150000,150000,Goalkeeper,it Serie A,3,2,203.0,2.3,-0.0630215498357671,0.7099025040704832,-2.6301731274255253,-2.2223770172625943,-0.7581893454800431,-0.1749999999999993
Gianluca Pegolo,Sassuolo,38,Italy,2019/2020,150000,150000,Goalkeeper,it Serie A,5,5,450.0,5.0,0.1027363367304235,2.2829823052529346,-1.2960503256377394,0.3220782228972892,0.5490270430462915,0.1500000000000018
Gianluca Pegolo,Sassuolo,39,Italy,2020/2021,150000,100000,Goalkeeper,it Serie A,1,1,90.0,1.0,-0.8541666338004812,0.2853330663855711,-2.5685441474161093,1.264343640377943,-0.5661595760125063,0.2000000000000068
Gianluigi Buffon,Juventus,39,Italy,2017/2018,2000000,2000000,Goalkeeper,it Serie A,21,21,1862.0,20.7,-0.2151552850846026,0.1029295991339907,0.6301850438811816,2.118912488350506,0.4576196726486174,1.5500000000000114
Gianluigi Buffon,Paris SG,40,Italy,2018/2019,1000000,1000000,Goalkeeper,fr Ligue 1,17,17,1530.0,17.0,0.2221342961648917,0.0391043258696568,-1.421701439000773,1.093337167368562,-0.122204696549306,1.7500000000000009
Gianluigi Buffon,Juventus,41,Italy,2019/2020,1000000,1000000,Goalkeeper,it Serie A,9,9,810.0,9.0,0.035412637757275,-0.3590080507655411,-1.1400857864114635,0.7262600623962533,-0.2928820955720486,0.8250000000000025
Gianluigi Buffon,Juventus,42,Italy,2020/2021,1000000,1000000,Goalkeeper,it Serie A,8,8,720.0,8.0,0.0986629435416473,-0.6680236937332636,0.6018438845820913,1.6936816818214049,0.1953706664975031,0.9750000000000068
Gianluigi Donnarumma,Milan,18,Italy,2017/2018,25000000,40000000,Goalkeeper,it Serie A,38,38,3420.0,38.0,-0.0209854352473687,-0.2750612745265692,-0.8591259676933528,0.364135368505225,-0.2616789915436959,0.3500000000000109
Gianluigi Donnarumma,Milan,19,Italy,2018/2019,40000000,55000000,Goalkeeper,it Serie A,36,36,3090.0,34.3,0.4427380212212339,0.6296635110203805,0.4924926751591447,0.6894815657744092,0.5576121378183893,0.4750000000000005
Gianluigi Donnarumma,Milan,20,Italy,2019/2020,55000000,49500000,Goalkeeper,it Serie A,36,36,3201.0,35.6,0.0657570761624386,0.052453085253621,1.105164158245182,0.5433940939104401,0.3925980025272385,0.4250000000000023
