Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Passing_Ability,Shot-Stopping,Territorial_Command,Team_Impact,Overall_Performance_Index
Pepe Reina,Aston Villa,36,Spain,2019/2020,800000,650000,Goalkeeper,eng Premier League,12,12,1080.0,12.0,-0.12116024540188988,-0.17363185895269526,0.14876684659332076,-0.8205981544834715,-0.17695922350810633
Pepe Reina,Lazio,37,Spain,2020/2021,800000,800000,Goalkeeper,it Serie A,29,29,2610.0,29.0,0.5179949296475237,-0.18802552115278637,-0.09508910924412425,0.09497814910056035,0.054164245062458684
Pierluigi Gollini,Atalanta,22,Italy,2017/2018,4000000,3500000,Goalkeeper,it Serie A,7,7,622.0,6.9,0.5709862539205088,0.0539625972180541,-0.9678565920934504,0.874230135032156,0.05080384473790692
Pierluigi Gollini,Atalanta,23,Italy,2018/2019,3500000,6000000,Goalkeeper,it Serie A,20,20,1799.0,20.0,-0.21731677593999507,-0.44429846672029827,-0.2961236935202014,0.3814376780412127,-0.22664892901097158
Pierluigi Gollini,Atalanta,24,Italy,2019/2020,8000000,13000000,Goalkeeper,it Serie A,33,33,2884.0,32.0,0.12149582095234185,-0.9230492016725923,-0.1443801010647531,0.12155375605132916,-0.31055522720581075
Pierluigi Gollini,Atalanta,25,Italy,2020/2021,17000000,17000000,Goalkeeper,it Serie A,25,25,2156.0,24.0,-0.21349803993731964,-1.6475476901798098,0.1226358240336635,1.0592082822963889,-0.4404760031943892
Péter Gulácsi,RB Leipzig,27,Hungary,2017/2018,3000000,8000000,Goalkeeper,de Bundesliga,33,33,2970.0,33.0,0.33503382429071754,-0.6181353724484976,0.39926885756907654,-0.538559117702057,-0.11355557754733417
Péter Gulácsi,RB Leipzig,28,Hungary,2018/2019,10000000,12000000,Goalkeeper,de Bundesliga,33,33,2925.0,32.5,0.04620764215864819,-0.06858181338906788,0.5837734615902141,1.2559230583450383,0.32188010000279754
Péter Gulácsi,RB Leipzig,29,Hungary,2019/2020,12000000,9500000,Goalkeeper,de Bundesliga,32,32,2880.0,32.0,1.0402522308821014,-0.3557468497760237,0.03824014892067769,0.4389814830799402,0.21095891999107752
Péter Gulácsi,RB Leipzig,30,Hungary,2020/2021,11000000,13000000,Goalkeeper,de Bundesliga,33,33,2970.0,33.0,0.9388102581700425,-2.095178657307376,-0.0526426621287238,1.5823307058154312,-0.27442102517493716
Ralf Fährmann,Schalke 04,28,Germany,2017/2018,9000000,13000000,Goalkeeper,de Bundesliga,34,34,3015.0,33.5,-0.3698785118024805,-0.32367259428550843,1.242339987719073,0.6361095444615469,0.20024639264845223
Ralf Fährmann,Schalke 04,29,Germany,2018/2019,10000000,5000000,Goalkeeper,de Bundesliga,17,16,1470.0,16.3,0.45985519306109657,0.132299736758452,0.28681714905376526,-1.0843829187794187,0.07031555557726085
Ralf Fährmann,Norwich City,30,Germany,2019/2020,4000000,1600000,Goalkeeper,eng Premier League,1,1,21.0,0.2,-8.063783560133793,0.4180248452920842,-2.370998148778307,-0.03734790522794993,-2.467988917159988
Ralf Fährmann,Schalke 04,31,Germany,2020/2021,1600000,1000000,Goalkeeper,de Bundesliga,22,22,1876.0,20.8,0.379353533964235,0.25679118673181156,1.3206995807724395,-2.2052935742587136,0.18409615790149564
Robin Zentner,Mainz 05,22,Germany,2017/2018,200000,600000,Goalkeeper,de Bundesliga,15,15,1350.0,15.0,-0.41000628278860907,-0.941664465626289,0.5702523275321216,-1.0293418471271787,-0.4439223288523998
Robin Zentner,Mainz 05,23,Germany,2018/2019,1000000,1000000,Goalkeeper,de Bundesliga,10,10,900.0,10.0,0.43057467515755676,0.5657899155744747,0.6939809125040407,-0.5211029397623868,0.4009999264021074
Robin Zentner,Mainz 05,24,Germany,2019/2020,3000000,3200000,Goalkeeper,de Bundesliga,22,22,1935.0,21.5,0.4663638235302188,-0.23277935349461726,0.5769880999398949,-1.3909353559364637,-0.029275096246057147
Robin Zentner,Mainz 05,25,Germany,2020/2021,4500000,5000000,Goalkeeper,de Bundesliga,31,31,2790.0,31.0,-0.017839341145709647,-0.11400652732730701,0.3756656488572719,-0.792600554127759,-0.06933579075583074
Roman Bürki,Dortmund,26,Switzerland,2017/2018,9000000,7000000,Goalkeeper,de Bundesliga,33,33,2969.0,33.0,0.7025692153238567,0.05893475840663992,0.41310395749403656,0.0405242330276158,0.3056240936009396
Roman Bürki,Dortmund,27,Switzerland,2018/2019,8500000,14000000,Goalkeeper,de Bundesliga,32,32,2880.0,32.0,0.11138614473426629,-0.2838030170572825,-0.1688598734508229,0.31184964335700927,-0.06692204164563664
Roman Bürki,Dortmund,28,Switzerland,2019/2020,14000000,11000000,Goalkeeper,de Bundesliga,31,31,2770.0,30.8,0.04053807631547271,-1.5183176370389497,-1.0204207869778292,0.5467377540546076,-0.6943711875210303
Roman Bürki,Dortmund,29,Switzerland,2020/2021,7000000,4000000,Goalkeeper,de Bundesliga,19,18,1665.0,18.5,0.2511744218444522,0.5805373329382719,-0.7216012015931297,-0.7258645210705006,-0.02329830656934928
Rubén Blanco,Celta Vigo,22,Spain,2017/2018,1500000,3000000,Goalkeeper,es La Liga,22,22,1941.0,21.6,-0.29441899278414824,-0.05471151279355635,0.40799565368922686,-0.4622594214992754,-0.060093777476366364
Rubén Blanco,Celta Vigo,23,Spain,2018/2019,3000000,3000000,Goalkeeper,es La Liga,25,25,2250.0,25.0,-0.09465684557641793,-0.7369926671957273,-0.2908316283356248,-0.7808650300934638,-0.47144930651053474
Rubén Blanco,Celta Vigo,24,Spain,2019/2020,6000000,8000000,Goalkeeper,es La Liga,33,33,2960.0,32.9,-0.7424764732999208,-0.16846986282639112,-0.3094401329200865,-0.35498471268285775,-0.37519131044666737
Rubén Blanco,Celta Vigo,25,Spain,2020/2021,7000000,5000000,Goalkeeper,es La Liga,19,19,1637.0,18.2,0.15854346197866304,-1.321659244621459,-0.8500286646659562,-0.4397009884162083,-0.7014071845517651
Rune Jarstein,Hertha BSC,32,Norway,2017/2018,2500000,2500000,Goalkeeper,de Bundesliga,31,31,2790.0,31.0,-0.254763482999861,-0.009668797419219678,0.21086699062442896,-0.7589131376980331,-0.12819517284528986
Rune Jarstein,Hertha BSC,33,Norway,2018/2019,2000000,2000000,Goalkeeper,de Bundesliga,31,31,2745.0,30.5,0.30405572960134436,0.06455072495883579,1.6368715532515485,-0.9348354085431496,0.36759926316734337
Rune Jarstein,Hertha BSC,34,Norway,2019/2020,1500000,800000,Goalkeeper,de Bundesliga,29,29,2547.0,28.3,0.07234394375228176,0.12882308294992595,1.1473228000154263,-0.7113696895140296,0.24329931154729667
Rune Jarstein,Hertha BSC,35,Norway,2020/2021,600000,500000,Goalkeeper,de Bundesliga,8,8,720.0,8.0,-0.09366617343163816,-0.49820466416687503,-0.21061244307842814,-0.9768891269464236,-0.39697465562788636
Salvatore Sirigu,Torino,30,Italy,2017/2018,4000000,6000000,Goalkeeper,it Serie A,37,37,3330.0,37.0,0.0507641263807212,0.38326240505865816,1.3272512542938932,-0.1188370787299237,0.4608201251296954
Salvatore Sirigu,Torino,31,Italy,2018/2019,6000000,7500000,Goalkeeper,it Serie A,36,36,3169.0,35.2,-0.06315997042592918,0.5953895517362475,1.1665548495273952,0.5128437594001022,0.5611616267930685
Salvatore Sirigu,Torino,32,Italy,2019/2020,8000000,6500000,Goalkeeper,it Serie A,36,36,3240.0,36.0,0.07979447700569514,0.9600824651468897,0.696348324676137,-1.2920100983497522,0.33626304846940663
Salvatore Sirigu,Torino,33,Italy,2020/2021,6500000,2500000,Goalkeeper,it Serie A,32,32,2880.0,32.0,-0.6415661418943438,-1.199536219117895,-0.5715244370399684,-1.182283844852129,-0.9004528981526607
Samir Handanović,Inter,33,Slovenia,2017/2018,10000000,8500000,Goalkeeper,it Serie A,38,38,3420.0,38.0,-0.011895983595250115,0.6979287045001653,-1.0916712441067578,1.2808456210697263,0.1605100828100148
Samir Handanović,Inter,34,Slovenia,2018/2019,6000000,6000000,Goalkeeper,it Serie A,38,38,3420.0,38.0,0.09967653076859288,0.5113479592628302,-0.9611326356829096,0.9832080057282778,0.111088960372653
Samir Handanović,Inter,35,Slovenia,2019/2020,6000000,4800000,Goalkeeper,it Serie A,35,35,3150.0,35.0,0.26676971574834984,-0.18139899610288565,-0.005763444981122237,1.199317211045434,0.18165950071261203
Samir Handanović,Inter,36,Slovenia,2020/2021,4000000,2500000,Goalkeeper,it Serie A,37,37,3240.0,36.0,-0.21473733215680071,-0.3450326924089541,-0.8256294333312925,1.2092095138657806,-0.19947170663529015
Sergio Asenjo,Villarreal,28,Spain,2017/2018,7500000,8000000,Goalkeeper,es La Liga,23,23,2070.0,23.0,-0.9590353787503514,-0.3960049791966274,0.9543361286957,0.34902310324926816,-0.08742308974509222
Sergio Asenjo,Villarreal,29,Spain,2018/2019,12000000,12000000,Goalkeeper,es La Liga,32,32,2880.0,32.0,-0.22804148860541462,0.8883475066677141,1.575001776646355,-0.5185711188952483,0.5698760315096478
