Player,Team,Age,Season,MV1,MV2,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Delta_MV,Log_MV1,Log_MV2,Log_Return_MV,Age_Original,Perf_MV1_Interaction,Comp_eng Premier League,Comp_es La Liga,Comp_fr Ligue 1,Comp_it Serie A,Nationality_France,Nationality_Germany,Nationality_Italy,Nationality_Other,Nationality_Spain,Position_Central Midfielder,Position_Centre-Back,Position_Centre-Forward,Position_Defensive Midfielder,Position_Goalkeeper,Position_Wing-Back,Position_Winger
Ander Capa,Ath Bilbao,0.4815510426384938,2020/2021,5.0,6.0,0.4057837376860304,25,0.4067491183573624,23.7,-0.12718430874528663,-0.1537613494781772,-0.4256089472571699,20.0,-0.37868945354431777,1.791759469228055,0.18232155679395468,28,0.04816335637816439,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Andoni Gorosabel,Sociedad,-1.582633369359175,2017/2018,0.2,1.0,-2.3606390703945683,1,-1.9089030832332545,0.8,-2.750553492418075,-0.04316006495525609,-0.5967941862443882,400.0,-2.945378778549078,0.0,1.6094379124341003,20,8.10142188583225,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Andoni Gorosabel,Sociedad,-1.3246103178594664,2018/2019,2.5,1.5,-1.8286346842252224,6,-1.4818314606527954,5.1,-1.1705296364394577,-0.33809682368303945,-0.5967941862443882,-40.0,-0.931395915612703,0.4054651081081644,-0.5108256237659907,21,1.090226522483333,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Andoni Gorosabel,Sociedad,-1.0665872663597578,2019/2020,2.0,1.6,-1.083828543588138,8,-1.1899804045885765,7.9,-0.3007703906885311,-0.006292970114285788,-0.5967941862443882,-19.999999999999996,-1.1093276539783123,0.47000362924573563,-0.22314355131420965,22,0.33365291188864865,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Andoni Gorosabel,Sociedad,-0.8085642148600493,2020/2021,3.0,10.0,0.8313872466215071,28,0.6895854699871652,26.5,-0.291880156422627,0.4729792628183616,-0.5967941862443882,233.33333333333334,-0.7860150997620469,2.302585092994046,1.2039728043259361,23,0.22942221026909299,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Andrea Conti,Milan,-0.8085642148600493,2017/2018,10.0,15.0,-2.3606390703945683,2,-1.8176292008347923,1.7,1.071870614079031,0.21490959893156786,0.7726877256533581,50.0,0.1740170085240678,2.70805020110221,0.40546510810816416,23,0.18652371778688853,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Andrea Conti,Milan,-0.5505411633603406,2018/2019,14.0,15.0,-1.2966302980558764,4,-1.4311237482092052,5.6,0.1726344510931882,0.3992450731364171,0.7726877256533581,7.142857142857142,0.4423155527624133,2.70805020110221,0.06899287148695166,24,0.07635890266111935,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Andrea Conti,Milan,-0.29251811186063204,2019/2020,15.0,12.0,-0.12622064848331552,21,-0.05074713168925099,19.2,-0.20443284224020508,0.32551088345447393,0.7726877256533581,-20.0,0.49732956274033313,2.4849066497880004,-0.2231435513142097,25,-0.1016704960410847,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Andrea Conti,Parma,-0.0344950603609234,2020/2021,10.0,4.5,-1.4030311752897455,9,-1.082930789429886,9.0,-0.17683372938823624,-1.9233819018448672,0.7726877256533581,-55.00000000000001,0.1740170085240678,1.5040773967762742,-0.7985076962177717,26,-0.030772076594295403,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Andrew Robertson,Liverpool,-0.8085642148600493,2017/2018,7.0,25.0,-0.2326215257171847,22,0.19152304998567973,21.6,1.2221593611915194,1.39465663384269,-0.08323846928273339,257.14285714285717,-0.11039090930597188,3.2188758248682006,1.2729656758128873,23,-0.13491528319873755,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Andrew Robertson,Liverpool,-0.5505411633603406,2018/2019,35.0,60.0,1.2569907555569837,36,1.629368407275036,35.7,1.071563167464405,2.16886562550312,-0.08323846928273339,71.42857142857143,1.172953753196408,4.0943445622221,0.5389965007326869,24,1.256894039064405,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
